Line [lineName=null, startingStation=Station [stationName=Струга, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=05:00:00, arrivalTime=07:30:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Кичево, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Тетово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=05:30:00, arrivalTime=06:20:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Кичево, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=05:30:00, arrivalTime=07:30:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Тетово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=06:20:00, arrivalTime=07:30:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Тетово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=13:15:00, arrivalTime=14:00:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Кичево, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=13:15:00, arrivalTime=15:35:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Струга, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=13:15:00, arrivalTime=16:30:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Скопје, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Делогожди, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=13:15:00, arrivalTime=16:45:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Тетово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Кичево, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=14:00:00, arrivalTime=15:35:00, price=0]]------------------------------------------
Line [lineName=null, startingStation=Station [stationName=Тетово, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], arrivingStation=Station [stationName=Струга, stationLatitude=0.0, stationLongitude=0.0, stationCity=null], traveledTime=null, kmTraveled=0.0, schedule=Schedule [vehicleType=BUS, transporter=ЕУРО ЛИНИА, regularityType=EVERYDAY, departureTime=14:00:00, arrivalTime=16:30:00, price=0]]------------------------------------------
